id,production_schedule_id,sequence,location_code,event_type,event_time,advertised_event_time
173808572,7507574,2,WLVR,A,2020-12-22 05:16:30,2020-12-22 05:17:00
173808570,7507574,0,NMPTN,D,2020-12-22 05:05:00,2020-12-22 05:05:00
173808634,7507575,37,RDIT,A,2020-12-22 21:54:00,2020-12-22 21:54:00
173808632,7507575,35,ALVCHRC,D,2020-12-22 21:48:30,2020-12-22 21:48:00
173808631,7507575,34,ALVCHRC,A,2020-12-22 21:48:00,2020-12-22 21:48:00
173808630,7507575,33,BGRN,D,2020-12-22 21:44:00,2020-12-22 21:44:00
173808629,7507575,32,BGRN,A,2020-12-22 21:42:30,2020-12-22 21:43:00
173808628,7507575,31,LONB,D,2020-12-22 21:38:30,2020-12-22 21:37:00
173808627,7507575,30,LONB,A,2020-12-22 21:37:30,2020-12-22 21:37:00
173808626,7507575,29,NRTF,D,2020-12-22 21:35:30,2020-12-22 21:34:00
173808625,7507575,28,NRTF,A,2020-12-22 21:35:00,2020-12-22 21:34:00
173808624,7507575,27,KNORTON,D,2020-12-22 21:32:30,2020-12-22 21:31:00
173808623,7507575,26,KNORTON,A,2020-12-22 21:31:30,2020-12-22 21:31:00
173808622,7507575,25,BOURNVL,D,2020-12-22 21:29:00,2020-12-22 21:28:00
173808621,7507575,24,BOURNVL,A,2020-12-22 21:28:30,2020-12-22 21:28:00
173808620,7507575,23,SELYOAK,D,2020-12-22 21:26:30,2020-12-22 21:25:00
173808619,7507575,22,SELYOAK,A,2020-12-22 21:25:30,2020-12-22 21:25:00
173808618,7507575,21,UNVRSYB,D,2020-12-22 21:24:00,2020-12-22 21:23:00
173808617,7507575,20,UNVRSYB,A,2020-12-22 21:23:00,2020-12-22 21:23:00
173808616,7507575,19,FIVEWYS,D,2020-12-22 21:20:00,2020-12-22 21:19:00
173808615,7507575,18,FIVEWYS,A,2020-12-22 21:19:00,2020-12-22 21:19:00
173808614,7507575,17,BHAMNWS,D,2020-12-22 21:16:00,2020-12-22 21:15:00
173808613,7507575,16,BHAMNWS,A,2020-12-22 21:12:00,2020-12-22 21:12:00
173808611,7507575,14,DUDESTN,D,2020-12-22 21:06:00,2020-12-22 21:06:00
173808610,7507575,13,DUDESTN,A,2020-12-22 21:05:30,2020-12-22 21:06:00
173808609,7507575,12,ASTON,D,2020-12-22 21:03:00,2020-12-22 21:03:00
173808608,7507575,11,ASTON,A,2020-12-22 21:02:00,2020-12-22 21:02:00
173808607,7507575,10,GRAVLYH,D,2020-12-22 20:59:30,2020-12-22 20:59:00
173808606,7507575,9,GRAVLYH,A,2020-12-22 20:59:00,2020-12-22 20:59:00
173808605,7507575,8,ERDNGTN,D,2020-12-22 20:57:00,2020-12-22 20:57:00
173808604,7507575,7,ERDNGTN,A,2020-12-22 20:56:00,2020-12-22 20:56:00
