﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2018/19"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2020
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,First year marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK  ","Other European Union","Non-European Union","Total Non-UK","Not known","Total"
"10003945","The Liverpool Institute for Performing Arts","575","15","35","10","5","635","30","155","185","0","820"
"10006842","The University of Liverpool","19,160","95","1,025","580","120","20,980","1,005","7,710","8,715","0","29,695"
"10003958","Liverpool School of Tropical Medicine","210","15","15","5","0","245","35","140","175","0","420"
"10007820","Grŵp Llandrillo Menai","15","0","1,395","0","0","1,410","0","0","0","0","1,410"
"10007162","University of the Arts, London","9,065","120","135","55","25","9,400","2,450","7,240","9,695","0","19,095"
"10007769","London Business School","490","5","0","0","0","500","325","1,255","1,580","0","2,075"
"10007797","University of London (Institutes and activities)","145","5","5","0","0","150","35","60","90","0","245"
"10004048","London Metropolitan University","8,125","30","45","15","10","8,225","595","380","975","0","9,200"
"10004078","London South Bank University","15,415","20","70","40","5","15,545","590","985","1,575","0","17,125"
"10004063","London School of Economics and Political Science","3,700","50","65","30","5","3,855","2,180","5,820","8,000","0","11,850"
"10007771","London School of Hygiene and Tropical Medicine","545","10","5","5","0","565","105","500","605","0","1,170"
"10004113","Loughborough University","13,175","115","380","145","65","13,880","885","3,260","4,145","0","18,025"
"10004180","The Manchester Metropolitan University","29,030","135","790","415","75","30,450","915","1,685","2,600","0","33,050"
"10007798","The University of Manchester","24,130","315","855","425","85","25,810","2,980","11,460","14,440","0","40,250"
"10004351","Middlesex University","14,840","75","85","20","30","15,050","1,895","2,690","4,580","0","19,635"
"10007799","Newcastle University","19,025","465","230","540","70","20,335","1,425","5,455","6,880","0","27,215"
"10007832","Newman University","2,765","5","10","5","0","2,780","15","0","20","0","2,800"
"10007138","The University of Northampton","10,055","35","95","40","10","10,230","405","1,345","1,750","0","11,985"
"10009614","Grŵp NPTC Group","0","0","160","0","0","165","0","0","0","0","165"
"10001282","University of Northumbria at Newcastle","21,330","225","100","630","60","22,350","1,000","3,100","4,100","0","26,450"
"10004775","Norwich University of the Arts","2,095","5","10","15","10","2,135","80","90","170","0","2,305"
"10007154","University of Nottingham","24,655","100","435","145","35","25,370","1,545","6,630","8,175","0","33,540"
"10004797","The Nottingham Trent University","27,885","75","315","125","75","28,475","1,010","3,770","4,780","0","33,255"
"10007773","The Open University","92,635","16,825","8,625","3,950","10","122,040","215","105","320","0","122,360"
"10004930","Oxford Brookes University","13,400","95","330","45","55","13,920","900","1,845","2,745","0","16,665"
"10007774","The University of Oxford","15,890","410","405","150","40","16,890","2,630","5,870","8,500","0","25,390"
